,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,last_available_confirmed,last_available_deaths,estimated_population_2019,last_available_confirmed_per_100k_inhabitants,last_available_death_rate
2020-03-11,1.0,0.966091783079296,0.0,0.966091783079296,0.0,0.966091783079296,0.0,0.966091783079296,1,0,1483771.0,0.0674,0.0
2020-03-12,2.0,1.3436720379075193,0.0,1.3436720379075193,0.0,1.3436720379075193,0.0,1.3436720379075193,2,0,1483771.0,0.13479000000000002,0.0
2020-03-13,2.0,1.371720146974653,0.0,1.371720146974653,0.0,1.371720146974653,0.0,1.371720146974653,2,0,1483771.0,0.13479000000000002,0.0
2020-03-14,2.0,1.3676640854043995,0.0,1.3676640854043995,0.0,1.3676640854043995,0.0,1.3676640854043995,2,0,1483771.0,0.13479000000000002,0.0
2020-03-15,2.0,1.3710572489133999,0.0,1.3710572489133999,0.0,1.3710572489133999,0.0,1.3710572489133999,2,0,1483771.0,0.13479000000000002,0.0
2020-03-16,6.0,2.3250502329753195,0.0,2.3250502329753195,0.0,2.3250502329753195,0.0,2.3250502329753195,6,0,1483771.0,0.40438,0.0
2020-03-17,5.999999999999999,2.3952393861933126,0.0,2.3952393861933126,0.0,2.3952393861933126,0.0,2.3952393861933126,6,0,1483771.0,0.40438,0.0
2020-03-18,15.000000000000002,3.6753066250149513,0.51,3.7370548280536093,0.0,3.7370548280536093,0.51,3.7370548280536093,15,0,1483771.0,1.01094,0.0
2020-03-19,20.000000000000004,4.362836627051652,0.5800000000000001,4.423702457709315,0.0,4.423702457709315,0.5800000000000001,4.423702457709315,20,0,1483771.0,1.34792,0.0
2020-03-20,25.0,4.854467899354016,0.8200000000000001,4.928413394375374,0.0,4.928413394375374,0.8200000000000001,4.928413394375374,25,0,1483771.0,1.6849,0.0
2020-03-21,35.0,5.82393181778271,1.6199999999999999,5.942994347816748,0.82,5.955399383599879,1.6199999999999999,5.942994347816748,35,0,1483771.0,2.35885,0.0
2020-03-22,38.0,5.800208982650905,1.62,5.9251855871714465,0.72,5.9421733601792734,1.62,5.9251855871714465,38,0,1483771.0,2.56104,0.0
2020-03-23,41.00000000000001,6.143897358149366,2.04,6.286801630994473,1.57,6.312604434579659,2.04,6.286801630994473,41,0,1483771.0,2.76323,0.0
2020-03-24,47.0,6.728591189390198,2.0700000000000003,6.873168075490327,1.54,6.897016702454722,2.0700000000000003,6.873168075490327,47,0,1483771.0,3.1676,0.0
2020-03-25,87.00000000000001,9.029748813580788,4.64,9.248478990426676,3.24,9.279911833436977,4.64,9.248478990426676,87,1,1483771.0,5.86344,0.0115
2020-03-26,102.99999999999999,9.840013139516563,6.2700000000000005,10.086236096079578,4.67,10.140673477923377,6.2700000000000005,10.175343391321649,103,1,1483771.0,6.94177,0.0097
2020-03-27,107.0,10.224845952261322,6.34,10.488082510519964,4.8,10.534698607339214,6.34,10.577404734106137,107,2,1483771.0,7.211360000000001,0.0187
